Image,PSNR (dB),SSIM,Accuracy (%),RMSE
18866.jpg,26.98,0.8216,87.79,11.42
18872.jpg,29.02,0.6572,93.67,9.03
18873.jpg,29.08,0.8493,93.88,8.96
18874.jpg,25.54,0.7193,86.96,13.48
18883.jpg,27.43,0.7246,88.3,10.84
18895.jpg,27.9,0.7403,94.16,10.27
18896.jpg,23.8,0.7356,80.1,16.46
18899.jpg,24.19,0.5732,85.96,15.75
18902.jpg,27.02,0.7707,87.39,11.37
18915.jpg,27.35,0.768,88.64,10.94
18930.jpg,23.41,0.7368,79.24,17.23
18937.jpg,26.21,0.6817,83.65,12.48
18947.jpg,25.96,0.7446,85.81,12.83
18949.jpg,27.02,0.7724,87.81,11.37
18953.jpg,27.28,0.8186,89.49,11.03
18956.jpg,23.72,0.7041,81.33,16.63
18958.jpg,24.21,0.6683,79.28,15.7
18984.jpg,24.24,0.7396,82.21,15.66
18985.jpg,29.18,0.7714,90.61,8.87
19000.jpg,26.08,0.666,83.47,12.67
19002.jpg,26.56,0.7664,86.77,11.98
19009.jpg,25.75,0.657,83.26,13.16
19025.jpg,27.26,0.7905,88.72,11.05
19044.jpg,27.65,0.7336,90.75,10.57
19059.jpg,27.75,0.7951,92.5,10.45
19073.jpg,28.93,0.7583,94.72,9.12
19075.jpg,29.03,0.7744,92.08,9.02
19077.jpg,29.11,0.8124,92.9,8.93
19079.jpg,28.44,0.7665,92.1,9.65
19081.jpg,27.8,0.7825,89.21,10.39
19082.jpg,27.05,0.753,86.31,11.32
19085.jpg,28.9,0.841,92.54,9.15
19091.jpg,28.31,0.7886,89.56,9.8
19093.jpg,22.22,0.6611,72.88,19.75
19097.jpg,27.48,0.7767,87.02,10.78
19099.jpg,30.71,0.7757,96.61,7.43
191.jpg,26.44,0.7665,83.93,12.14
19107.jpg,24.89,0.7391,80.81,14.52
19108.jpg,27.86,0.7427,87.65,10.32
1911.jpg,26.48,0.7041,83.81,12.1
19111.jpg,30.46,0.8578,96.11,7.64
19123.jpg,23.83,0.7202,80.49,16.41
19126.jpg,29.31,0.86,92.58,8.73
19130.jpg,28.72,0.8168,91.98,9.35
19134.jpg,25.79,0.6972,82.81,13.1
19139.jpg,28.67,0.7174,89.68,9.4
19140.jpg,27.28,0.7031,84.27,11.02
19144.jpg,25.05,0.6591,84.16,14.26
19146.jpg,25.31,0.6867,81.04,13.83
19149.jpg,26.79,0.7502,86.29,11.67
19151.jpg,27.03,0.7667,88.05,11.36
19163.jpg,25.96,0.7291,80.11,12.84
19177.jpg,27.77,0.7745,89.3,10.42
19189.jpg,26.05,0.736,86.55,12.7
1919.jpg,29.98,0.7641,94.31,8.08
19194.jpg,27.76,0.753,88.83,10.44
19202.jpg,25.82,0.696,81.34,13.04
19203.jpg,24.29,0.6691,77.88,15.56
19213.jpg,26.0,0.7367,83.33,12.78
19214.jpg,26.52,0.7186,82.6,12.03
19218.jpg,25.68,0.706,79.82,13.26
19227.jpg,27.49,0.7307,86.35,10.76
19228.jpg,26.11,0.7106,81.65,12.62
19230.jpg,26.0,0.7499,86.01,12.78
19235.jpg,28.18,0.8142,92.17,9.94
19246.jpg,28.82,0.8634,92.61,9.24
19248.jpg,26.15,0.7759,85.04,12.56
1925.jpg,27.32,0.7569,87.35,10.98
1926.jpg,28.59,0.767,90.4,9.48
19267.jpg,27.51,0.7665,87.98,10.74
1927.jpg,27.67,0.749,86.2,10.54
19277.jpg,24.85,0.6214,75.34,14.6
1928.jpg,26.9,0.7885,88.49,11.53
19284.jpg,26.8,0.7852,87.75,11.65
19286.jpg,25.0,0.7132,75.85,14.34
19287.jpg,23.78,0.5907,73.33,16.51
19295.jpg,26.75,0.7904,88.39,11.72
19306.jpg,27.16,0.6761,87.12,11.18
