Image,PSNR (dB),SSIM,Accuracy (%),RMSE
21086.jpg,27.86,0.7405,87.47,10.32
21087.jpg,26.74,0.7218,87.11,11.74
2109.jpg,23.83,0.7326,79.93,16.42
21099.jpg,25.73,0.7685,86.94,13.18
21102.jpg,23.76,0.605,74.3,16.55
21117.jpg,26.63,0.7061,83.98,11.89
21123.jpg,26.43,0.7013,81.93,12.16
21126.jpg,24.9,0.6109,78.74,14.5
21135.jpg,26.93,0.7635,90.45,11.48
21136.jpg,27.74,0.7703,87.71,10.46
21140.jpg,21.75,0.4436,61.09,20.85
21143.jpg,26.68,0.8238,90.85,11.82
2115.jpg,30.51,0.7945,95.73,7.61
21154.jpg,24.28,0.6778,80.22,15.57
2117.jpg,22.13,0.6039,63.34,19.96
21170.jpg,28.57,0.774,90.47,9.51
2118.jpg,28.02,0.6588,86.91,10.13
21180.jpg,28.65,0.8368,92.38,9.42
21182.jpg,25.13,0.7543,86.57,14.12
21187.jpg,25.64,0.6836,83.76,13.32
21205.jpg,26.46,0.7122,81.36,12.12
21215.jpg,29.0,0.7923,91.94,9.05
21217.jpg,27.14,0.6856,85.88,11.21
21218.jpg,28.21,0.8348,92.81,9.91
21219.jpg,25.43,0.6886,83.16,13.65
2123.jpg,26.6,0.7328,89.64,11.92
21236.jpg,28.36,0.8008,91.46,9.74
21250.jpg,26.59,0.7498,86.58,11.95
21253.jpg,22.42,0.5862,70.96,19.3
21254.jpg,30.27,0.7969,94.78,7.82
21256.jpg,27.57,0.7275,85.44,10.67
21267.jpg,26.67,0.7226,84.66,11.84
21268.jpg,28.1,0.7856,91.14,10.04
21288.jpg,30.02,0.8509,94.89,8.05
21300.jpg,26.29,0.7183,84.34,12.36
2131.jpg,26.19,0.7962,88.04,12.51
21312.jpg,26.3,0.8274,91.6,12.35
21313.jpg,27.64,0.7219,86.14,10.58
21314.jpg,25.64,0.6804,80.78,13.31
21315.jpg,25.68,0.6999,81.23,13.26
21316.jpg,24.18,0.5999,80.67,15.76
21318.jpg,29.42,0.8216,93.66,8.63
2132.jpg,27.25,0.8577,90.17,11.07
21321.jpg,26.85,0.7339,88.98,11.59
21329.jpg,24.43,0.7632,80.54,15.31
21330.jpg,28.07,0.7741,91.8,10.07
21338.jpg,25.56,0.7286,81.92,13.45
21343.jpg,27.04,0.7597,86.31,11.33
21349.jpg,25.2,0.6317,78.88,14.02
21358.jpg,27.12,0.7693,87.5,11.24
21363.jpg,27.72,0.7527,87.71,10.49
21385.jpg,29.54,0.8438,93.47,8.5
21392.jpg,25.83,0.7992,88.45,13.03
21394.jpg,25.83,0.7578,82.75,13.03
21395.jpg,28.11,0.7983,89.53,10.02
21398.jpg,24.56,0.7337,83.62,15.09
21404.jpg,30.23,0.8386,96.02,7.85
21416.jpg,27.36,0.8311,89.99,10.93
21418.jpg,25.72,0.7286,79.99,13.2
21424.jpg,25.28,0.7167,79.85,13.89
21437.jpg,26.28,0.6719,86.98,12.37
21440.jpg,25.84,0.784,89.7,13.02
21442.jpg,30.15,0.8148,94.81,7.93
21448.jpg,28.73,0.8138,91.0,9.33
21451.jpg,26.9,0.7343,87.66,11.53
21455.jpg,25.43,0.7112,77.0,13.64
21472.jpg,28.37,0.7552,90.07,9.73
21474.jpg,30.01,0.8803,96.87,8.06
21480.jpg,25.27,0.7379,85.66,13.91
21485.jpg,30.3,0.8019,94.35,7.79
21486.jpg,24.84,0.6359,76.73,14.6
21487.jpg,26.18,0.7589,85.28,12.52
21491.jpg,23.96,0.7009,78.01,16.16
215.jpg,24.86,0.6262,76.07,14.57
21502.jpg,28.9,0.7956,91.34,9.15
21505.jpg,25.32,0.692,80.96,13.83
21507.jpg,24.72,0.6454,78.23,14.8
2151.jpg,24.2,0.6058,74.67,15.72
21516.jpg,28.77,0.7963,91.2,9.29
21518.jpg,28.29,0.7574,88.91,9.82
2154.jpg,25.77,0.7079,81.67,13.12
21566.jpg,27.02,0.7372,84.47,11.36
21568.jpg,26.54,0.7437,87.73,12.01
21578.jpg,24.15,0.6079,74.41,15.81
21579.jpg,29.61,0.8142,92.71,8.43
21587.jpg,28.62,0.7182,92.13,9.46
21593.jpg,25.89,0.6638,82.28,12.94
21595.jpg,23.77,0.6029,71.53,16.53
2160.jpg,27.01,0.6837,87.19,11.37
21600.jpg,27.46,0.648,86.8,10.8
21604.jpg,30.03,0.8216,94.32,8.03
21608.jpg,24.69,0.6174,72.63,14.85
2161.jpg,29.97,0.8342,95.62,8.09
21616.jpg,24.36,0.6352,77.12,15.43
21621.jpg,26.94,0.7984,90.49,11.47
21636.jpg,28.87,0.8109,92.35,9.18
21640.jpg,29.85,0.8077,94.85,8.21
21641.jpg,24.07,0.6932,80.73,15.96
21649.jpg,28.22,0.7333,90.0,9.89
21658.jpg,27.36,0.7997,90.76,10.93
21663.jpg,25.35,0.7639,82.7,13.77
21666.jpg,28.63,0.6266,93.01,9.44
21668.jpg,26.7,0.7622,85.72,11.79
21669.jpg,27.57,0.8148,90.1,10.67
21674.jpg,26.99,0.712,88.89,11.41
21680.jpg,25.36,0.7252,87.38,13.76
21689.jpg,28.52,0.8286,91.37,9.56
21690.jpg,29.53,0.8771,93.8,8.51
21691.jpg,30.18,0.8469,95.29,7.9
21692.jpg,28.0,0.7797,90.88,10.15
21705.jpg,25.88,0.7292,85.68,12.95
21712.jpg,26.18,0.6908,85.96,12.52
21713.jpg,25.48,0.7418,81.9,13.57
21716.jpg,28.8,0.7908,90.66,9.25
21721.jpg,28.95,0.7796,92.23,9.1
21731.jpg,26.43,0.7278,87.3,12.16
21737.jpg,23.86,0.6075,79.2,16.35
21743.jpg,26.66,0.7808,86.46,11.85
21762.jpg,27.34,0.8304,90.66,10.96
21764.jpg,26.91,0.7144,86.99,11.5
21769.jpg,28.09,0.7537,88.11,10.05
21781.jpg,28.55,0.7952,91.57,9.53
21792.jpg,28.42,0.8297,91.1,9.67
21799.jpg,28.54,0.7589,89.97,9.54
2180.jpg,24.06,0.6568,72.07,15.99
21803.jpg,28.88,0.8351,95.2,9.18
21811.jpg,29.83,0.7694,93.72,8.22
21816.jpg,24.53,0.5995,76.43,15.14
21817.jpg,26.99,0.7135,88.78,11.4
21819.jpg,26.87,0.7578,87.24,11.56
21829.jpg,27.6,0.7151,88.01,10.63
21830.jpg,26.41,0.7286,83.02,12.19
21837.jpg,22.46,0.652,74.53,19.21
21844.jpg,27.9,0.7407,89.14,10.26
21847.jpg,26.8,0.7613,86.18,11.66
21852.jpg,24.18,0.6692,78.85,15.76
21854.jpg,25.46,0.7117,83.65,13.6
21857.jpg,27.34,0.8069,88.72,10.95
21862.jpg,28.05,0.7548,88.02,10.09
21871.jpg,27.32,0.7498,85.96,10.98
21878.jpg,27.21,0.7486,88.8,11.12
21879.jpg,26.49,0.7892,86.09,12.07
2189.jpg,28.91,0.7122,91.62,9.14
21897.jpg,28.06,0.7602,90.41,10.08
21901.jpg,24.53,0.6229,77.23,15.14
21905.jpg,26.87,0.7378,85.81,11.56
21919.jpg,28.36,0.8008,89.75,9.74
21923.jpg,24.54,0.5792,80.05,15.13
21924.jpg,25.48,0.717,80.62,13.57
21937.jpg,23.4,0.6033,70.83,17.24
21944.jpg,27.42,0.7535,86.92,10.85
21950.jpg,28.19,0.7713,90.0,9.93
21951.jpg,23.89,0.5814,71.01,16.29
21957.jpg,23.6,0.6683,74.66,16.86
21958.jpg,19.89,0.6907,69.27,25.83
21965.jpg,27.94,0.762,87.45,10.22
2197.jpg,30.8,0.7951,96.08,7.35
21973.jpg,26.23,0.7892,86.92,12.45
21991.jpg,27.71,0.8149,88.95,10.49
21997.jpg,21.51,0.4699,63.53,21.43
22002.jpg,24.2,0.7136,82.74,15.71
22009.jpg,25.54,0.663,78.8,13.47
22010.jpg,26.15,0.7787,86.09,12.57
22018.jpg,28.47,0.8,91.21,9.61
22019.jpg,27.46,0.749,86.79,10.8
22029.jpg,28.04,0.7656,91.12,10.1
2203.jpg,30.1,0.8025,95.79,7.97
22032.jpg,26.9,0.7763,87.84,11.52
22043.jpg,26.76,0.7675,90.42,11.72
22046.jpg,27.6,0.787,88.24,10.63
2205.jpg,28.66,0.7754,92.52,9.41
22059.jpg,32.28,0.8562,98.84,6.2
22064.jpg,23.45,0.6921,77.35,17.15
22065.jpg,23.44,0.6784,72.09,17.16
22070.jpg,23.45,0.745,84.71,17.14
22098.jpg,28.52,0.7954,90.91,9.56
22105.jpg,28.06,0.8328,92.37,10.09
22109.jpg,27.94,0.8025,90.64,10.22
22130.jpg,24.45,0.7298,77.19,15.29
22134.jpg,26.02,0.6702,81.56,12.75
22138.jpg,26.96,0.6863,84.02,11.45
22141.jpg,26.96,0.8383,89.87,11.44
22145.jpg,29.18,0.7802,92.64,8.87
22146.jpg,27.07,0.7812,88.47,11.3
22156.jpg,29.58,0.7986,95.65,8.46
22158.jpg,26.81,0.8234,89.67,11.64
22166.jpg,26.3,0.6548,83.7,12.34
22169.jpg,26.12,0.6748,84.39,12.61
22183.jpg,27.18,0.7592,87.47,11.15
22189.jpg,25.73,0.6133,81.5,13.19
22193.jpg,30.24,0.8305,95.61,7.85
22195.jpg,26.55,0.738,84.21,11.99
22196.jpg,27.99,0.7754,89.76,10.17
22197.jpg,27.98,0.7743,90.53,10.18
22198.jpg,29.3,0.8022,92.35,8.74
22204.jpg,27.38,0.7989,87.81,10.91
22209.jpg,23.85,0.6675,77.33,16.37
22210.jpg,26.7,0.7352,86.86,11.8
22216.jpg,25.23,0.5686,81.05,13.96
22219.jpg,26.91,0.7113,88.04,11.5
22233.jpg,26.73,0.7711,85.35,11.75
22236.jpg,27.59,0.7979,89.71,10.64
22238.jpg,28.13,0.7918,89.8,10.0
22242.jpg,27.12,0.7741,89.98,11.23
22245.jpg,26.17,0.8212,89.31,12.53
22246.jpg,26.5,0.77,86.7,12.06
22250.jpg,31.5,0.8777,97.83,6.79
22258.jpg,25.94,0.7356,85.51,12.87
22260.jpg,25.48,0.6556,82.46,13.57
22265.jpg,26.7,0.8058,91.22,11.8
22276.jpg,26.74,0.6579,83.97,11.74
22281.jpg,26.25,0.7793,87.88,12.42
22286.jpg,28.49,0.7625,90.63,9.6
22287.jpg,28.89,0.8142,91.21,9.16
22291.jpg,24.48,0.7398,83.15,15.23
22293.jpg,30.14,0.821,95.98,7.93
22294.jpg,28.07,0.7857,91.81,10.07
22302.jpg,26.59,0.7197,84.99,11.95
22312.jpg,26.18,0.7315,81.25,12.52
22318.jpg,28.29,0.826,90.2,9.82
22322.jpg,27.52,0.7842,87.0,10.73
22325.jpg,27.99,0.8063,91.14,10.17
22332.jpg,28.69,0.7617,90.53,9.37
22335.jpg,20.64,0.6379,75.6,23.69
22344.jpg,29.2,0.7913,93.83,8.84
22350.jpg,29.56,0.8358,93.61,8.48
22357.jpg,23.04,0.6937,85.99,17.97
22363.jpg,26.84,0.7837,86.74,11.61
22373.jpg,26.11,0.7182,82.33,12.61
22375.jpg,23.73,0.6746,84.35,16.6
22380.jpg,25.46,0.7319,81.59,13.6
22381.jpg,27.19,0.7056,89.2,11.15
22386.jpg,29.08,0.8492,93.44,8.96
22396.jpg,26.93,0.7375,86.77,11.48
224.jpg,25.94,0.712,81.56,12.87
22410.jpg,27.32,0.7973,89.48,10.97
22412.jpg,27.8,0.788,89.08,10.39
22415.jpg,29.41,0.8184,93.94,8.63
22416.jpg,26.76,0.8296,90.59,11.71
22420.jpg,28.42,0.7657,91.59,9.67
22432.jpg,25.37,0.7724,85.2,13.74
22442.jpg,30.02,0.7979,95.48,8.04
22447.jpg,27.1,0.7468,88.92,11.27
22460.jpg,30.77,0.8038,96.92,7.38
22464.jpg,32.01,0.863,98.66,6.4
22468.jpg,27.99,0.8242,90.44,10.16
22472.jpg,25.0,0.7316,83.47,14.35
22473.jpg,23.46,0.655,77.04,17.13
22481.jpg,27.9,0.7736,90.07,10.27
22484.jpg,27.96,0.7368,88.27,10.19
22496.jpg,30.94,0.8681,97.06,7.24
22499.jpg,27.48,0.7671,88.71,10.78
22503.jpg,28.31,0.7384,88.78,9.8
22506.jpg,24.61,0.7458,84.44,15.0
2251.jpg,29.43,0.7833,92.48,8.61
22512.jpg,29.86,0.8405,94.37,8.19
22516.jpg,25.51,0.7585,84.22,13.52
22517.jpg,28.18,0.789,89.03,9.94
22523.jpg,25.51,0.7033,83.7,13.52
22524.jpg,26.32,0.6579,80.99,12.32
22527.jpg,29.32,0.8068,94.37,8.72
22529.jpg,31.15,0.8475,96.73,7.06
22533.jpg,25.99,0.7778,86.0,12.79
22536.jpg,27.56,0.7827,90.46,10.68
22547.jpg,26.25,0.7691,85.02,12.42
2255.jpg,26.58,0.6338,82.22,11.96
22555.jpg,26.14,0.7568,83.7,12.58
22556.jpg,24.19,0.7266,82.41,15.74
22564.jpg,25.78,0.7372,83.78,13.1
22574.jpg,28.91,0.7994,94.32,9.15
22590.jpg,28.25,0.832,91.34,9.87
22596.jpg,24.98,0.6684,80.79,14.37
22604.jpg,24.34,0.6739,82.47,15.48
22619.jpg,26.46,0.6881,86.51,12.12
2263.jpg,26.74,0.6734,85.59,11.74
22630.jpg,23.9,0.7746,83.79,16.27
2264.jpg,25.91,0.7287,87.91,12.91
22643.jpg,24.76,0.7119,75.11,14.74
22646.jpg,24.6,0.7638,87.78,15.01
22653.jpg,26.79,0.7032,84.94,11.67
22655.jpg,24.46,0.6991,76.62,15.25
22669.jpg,30.77,0.8679,97.63,7.38
22678.jpg,26.43,0.7227,86.43,12.16
22681.jpg,27.39,0.7857,90.06,10.9
22682.jpg,26.05,0.7341,84.89,12.7
22684.jpg,26.17,0.7423,85.3,12.54
22689.jpg,27.48,0.7589,86.65,10.78
22702.jpg,26.16,0.7336,85.32,12.54
22704.jpg,29.43,0.8136,93.27,8.61
22718.jpg,26.4,0.7728,84.81,12.2
22723.jpg,29.97,0.8244,96.13,8.09
22730.jpg,22.5,0.6093,73.12,19.11
22734.jpg,27.03,0.7289,86.86,11.35
22738.jpg,26.26,0.7401,83.74,12.4
2274.jpg,27.09,0.7439,85.23,11.27
22745.jpg,30.94,0.7916,96.32,7.24
22747.jpg,24.15,0.7529,83.69,15.81
2276.jpg,25.91,0.6558,79.53,12.92
22768.jpg,24.38,0.7344,80.86,15.4
22781.jpg,22.59,0.6493,75.89,18.93
22785.jpg,29.2,0.8059,93.89,8.85
22786.jpg,26.4,0.7141,81.19,12.2
22796.jpg,28.41,0.7596,90.17,9.68
22812.jpg,24.25,0.7098,77.85,15.63
22825.jpg,25.5,0.719,84.13,13.54
22836.jpg,26.95,0.7718,88.98,11.45
22840.jpg,30.46,0.7936,96.14,7.64
22846.jpg,29.23,0.7557,91.78,8.81
22848.jpg,26.86,0.6842,87.86,11.57
22859.jpg,24.79,0.6953,78.68,14.69
22865.jpg,23.28,0.7621,84.85,17.47
22881.jpg,27.22,0.7687,88.48,11.1
22885.jpg,26.94,0.7404,84.97,11.46
22889.jpg,27.72,0.8202,89.58,10.49
22896.jpg,24.71,0.6618,76.7,14.82
22906.jpg,22.02,0.4939,64.48,20.21
22908.jpg,26.85,0.7578,89.83,11.59
22911.jpg,28.66,0.8311,92.41,9.41
22930.jpg,25.29,0.6404,79.12,13.86
22935.jpg,26.09,0.6762,84.28,12.65
2294.jpg,29.62,0.8428,93.48,8.42
22948.jpg,24.21,0.699,80.5,15.71
22952.jpg,23.81,0.667,75.26,16.44
22956.jpg,28.19,0.8645,90.96,9.94
22959.jpg,30.69,0.861,97.04,7.44
22963.jpg,25.49,0.7218,84.31,13.56
22966.jpg,26.38,0.7173,85.28,12.24
22969.jpg,26.86,0.7041,84.92,11.58
22973.jpg,28.98,0.8225,92.02,9.07
22982.jpg,21.68,0.6613,70.06,21.02
22983.jpg,24.24,0.7339,75.73,15.65
22984.jpg,25.3,0.6572,80.05,13.86
22989.jpg,27.52,0.8211,90.42,10.72
22992.jpg,26.04,0.8073,91.79,12.72
22993.jpg,29.34,0.8376,93.85,8.7
22998.jpg,28.15,0.7826,90.42,9.98
22999.jpg,26.44,0.7364,82.74,12.15
23000.jpg,29.12,0.8238,93.4,8.93
23006.jpg,27.37,0.8083,89.34,10.92
2301.jpg,26.41,0.6665,85.19,12.19
23010.jpg,28.22,0.7191,91.38,9.9
23011.jpg,26.28,0.8067,89.04,12.37
2302.jpg,25.37,0.6719,80.26,13.73
23029.jpg,26.48,0.7867,89.82,12.09
2304.jpg,28.34,0.7549,90.49,9.77
2305.jpg,25.94,0.736,84.5,12.86
23050.jpg,28.3,0.7536,91.31,9.8
23051.jpg,25.15,0.6733,77.42,14.1
23056.jpg,23.44,0.7556,83.64,17.16
2306.jpg,27.91,0.7699,90.26,10.26
23064.jpg,25.59,0.6689,80.32,13.39
2307.jpg,29.76,0.8367,93.28,8.29
23073.jpg,26.21,0.6241,82.69,12.48
23074.jpg,28.0,0.8377,91.37,10.15
23080.jpg,29.24,0.8315,92.98,8.8
23089.jpg,27.8,0.7756,87.3,10.38
231.jpg,26.55,0.73,86.86,12.0
23104.jpg,27.5,0.7556,84.66,10.75
23105.jpg,26.27,0.7298,82.36,12.39
23106.jpg,26.16,0.8244,89.71,12.54
23108.jpg,26.06,0.677,84.23,12.69
23114.jpg,26.44,0.7411,84.95,12.15
23116.jpg,29.58,0.8089,93.77,8.47
23120.jpg,26.72,0.7494,88.34,11.76
23132.jpg,25.76,0.7007,84.15,13.15
23134.jpg,26.73,0.7628,88.42,11.75
23136.jpg,26.85,0.7424,83.9,11.59
23138.jpg,27.94,0.8223,90.08,10.22
23139.jpg,27.35,0.7288,86.67,10.94
23155.jpg,28.67,0.8308,93.6,9.4
23156.jpg,27.28,0.7685,86.14,11.02
23159.jpg,27.53,0.7866,87.41,10.72
23161.jpg,29.25,0.8154,92.71,8.79
23164.jpg,26.86,0.7531,85.35,11.57
23168.jpg,25.84,0.7833,87.47,13.02
23173.jpg,26.94,0.774,86.34,11.47
23174.jpg,27.55,0.7309,86.56,10.69
23179.jpg,24.8,0.6391,75.66,14.68
23185.jpg,29.35,0.8464,95.2,8.69
23189.jpg,26.97,0.6798,85.35,11.42
23191.jpg,25.82,0.7812,80.44,13.05
23196.jpg,26.96,0.823,92.49,11.44
23204.jpg,28.16,0.757,90.02,9.97
23206.jpg,29.25,0.8515,93.85,8.79
23216.jpg,28.27,0.7696,90.94,9.84
23221.jpg,28.88,0.733,90.07,9.18
23225.jpg,24.76,0.7087,84.21,14.74
23229.jpg,26.16,0.7054,80.25,12.55
23230.jpg,25.87,0.6953,80.34,12.98
23233.jpg,23.8,0.6968,75.25,16.46
23236.jpg,28.74,0.8231,92.15,9.32
23246.jpg,27.15,0.7685,86.16,11.19
23247.jpg,26.09,0.6738,81.69,12.65
23259.jpg,24.94,0.6662,78.18,14.44
23260.jpg,24.64,0.7159,80.61,14.94
23262.jpg,31.18,0.8579,96.85,7.04
23264.jpg,24.16,0.7928,89.22,15.79
23266.jpg,21.23,0.6075,63.61,22.12
23284.jpg,27.97,0.7194,88.96,10.19
23287.jpg,26.77,0.7926,85.98,11.69
23291.jpg,25.99,0.6685,81.63,12.79
23297.jpg,28.14,0.7618,89.92,9.99
2330.jpg,28.24,0.7645,90.52,9.87
2331.jpg,26.93,0.7378,84.85,11.48
23330.jpg,20.98,0.6617,65.51,22.78
23333.jpg,26.64,0.7982,86.93,11.87
2334.jpg,25.2,0.6486,79.3,14.02
23342.jpg,29.44,0.832,94.52,8.6
2335.jpg,29.74,0.7833,93.06,8.31
23356.jpg,28.42,0.8061,89.79,9.67
23359.jpg,25.77,0.7093,82.81,13.12
23369.jpg,29.76,0.794,94.78,8.29
23382.jpg,29.43,0.7717,92.19,8.61
2339.jpg,26.15,0.6849,81.94,12.56
234.jpg,27.54,0.7673,85.85,10.71
23410.jpg,28.66,0.8201,92.57,9.41
23419.jpg,27.42,0.7596,86.68,10.85
23421.jpg,25.36,0.6903,85.32,13.76
23422.jpg,29.1,0.8691,94.13,8.94
23425.jpg,25.84,0.7107,80.3,13.02
23426.jpg,23.37,0.6306,75.94,17.29
23427.jpg,27.42,0.7264,85.05,10.85
23431.jpg,27.33,0.7924,91.02,10.97
23437.jpg,27.24,0.8014,89.86,11.08
23440.jpg,25.2,0.6767,77.03,14.01
2345.jpg,25.55,0.7389,82.88,13.46
23452.jpg,29.06,0.795,92.61,8.98
23454.jpg,29.15,0.849,92.83,8.89
23463.jpg,30.15,0.8375,95.69,7.92
23473.jpg,27.32,0.6577,89.09,10.98
23475.jpg,25.28,0.6601,82.14,13.88
23482.jpg,23.93,0.7308,76.99,16.22
23486.jpg,26.86,0.714,84.71,11.58
23490.jpg,29.0,0.8414,93.02,9.05
23495.jpg,29.94,0.8395,93.94,8.12
23505.jpg,26.41,0.7379,83.9,12.18
23507.jpg,30.13,0.8574,96.87,7.94
23518.jpg,30.69,0.8795,97.41,7.45
23527.jpg,25.37,0.7114,85.88,13.74
23529.jpg,28.31,0.7523,89.09,9.8
23539.jpg,24.86,0.6744,79.86,14.57
23542.jpg,29.1,0.8587,92.69,8.94
2355.jpg,27.25,0.7951,87.7,11.07
23551.jpg,28.49,0.7671,90.54,9.59
23561.jpg,27.34,0.7327,87.36,10.96
23574.jpg,28.15,0.8497,93.24,9.98
23575.jpg,28.43,0.7423,88.85,9.66
23576.jpg,24.82,0.7234,81.24,14.64
23578.jpg,25.41,0.7067,80.89,13.68
23579.jpg,24.35,0.7477,82.75,15.45
23582.jpg,26.46,0.709,81.92,12.13
23588.jpg,28.63,0.8378,93.18,9.45
23589.jpg,23.15,0.6308,73.27,17.74
23606.jpg,28.81,0.8057,91.91,9.25
23617.jpg,23.5,0.7543,80.49,17.03
23621.jpg,26.72,0.8199,88.76,11.76
23624.jpg,25.46,0.6996,86.05,13.6
23627.jpg,26.25,0.7553,89.28,12.42
23629.jpg,24.07,0.6883,75.22,15.96
23637.jpg,29.38,0.8631,94.59,8.66
23641.jpg,24.7,0.647,77.31,14.84
23642.jpg,25.06,0.7272,86.22,14.24
23643.jpg,27.72,0.7213,87.0,10.48
23650.jpg,26.67,0.739,85.29,11.83
23658.jpg,25.1,0.7367,86.88,14.18
23660.jpg,26.03,0.7103,82.44,12.73
23665.jpg,29.23,0.8074,93.76,8.81
23666.jpg,25.29,0.8374,90.97,13.87
23668.jpg,25.12,0.6297,78.75,14.14
23671.jpg,26.71,0.7685,87.94,11.78
23673.jpg,27.17,0.7995,88.2,11.17
23686.jpg,28.05,0.7623,86.94,10.09
2369.jpg,28.4,0.7088,92.49,9.7
23703.jpg,26.02,0.8068,88.88,12.74
23714.jpg,21.96,0.669,75.12,20.35
23715.jpg,29.1,0.8409,94.16,8.94
23716.jpg,23.29,0.6767,72.13,17.45
23726.jpg,29.91,0.8191,94.63,8.15
23728.jpg,25.37,0.7216,83.99,13.74
23729.jpg,26.59,0.7681,84.43,11.94
23730.jpg,27.78,0.8161,90.64,10.41
23745.jpg,28.39,0.8234,91.7,9.71
23747.jpg,27.87,0.7758,88.93,10.3
23748.jpg,25.84,0.6215,79.73,13.02
23754.jpg,26.45,0.7458,87.47,12.13
23755.jpg,27.37,0.7891,87.87,10.92
23756.jpg,27.89,0.793,88.86,10.28
2376.jpg,27.01,0.7552,85.53,11.38
23765.jpg,26.03,0.753,84.56,12.73
23770.jpg,27.67,0.7919,90.16,10.54
23772.jpg,27.23,0.7861,90.24,11.1
23778.jpg,27.36,0.6966,85.53,10.93
23780.jpg,27.68,0.7438,86.88,10.54
23781.jpg,27.82,0.7616,89.45,10.36
23785.jpg,26.56,0.7813,86.43,11.98
23788.jpg,29.42,0.7607,93.14,8.62
23797.jpg,27.11,0.8223,90.67,11.25
23809.jpg,28.09,0.7583,89.74,10.05
23811.jpg,22.35,0.5865,68.16,19.45
23817.jpg,28.55,0.8385,93.85,9.52
23826.jpg,25.78,0.6799,81.67,13.11
2383.jpg,27.47,0.7659,86.81,10.79
23830.jpg,28.46,0.7909,89.76,9.63
23834.jpg,25.13,0.6772,80.72,14.13
23838.jpg,30.09,0.8415,96.15,7.98
23840.jpg,27.62,0.8461,95.53,10.61
23847.jpg,28.21,0.7706,92.32,9.91
23856.jpg,25.23,0.7628,84.11,13.97
23857.jpg,28.04,0.7639,89.35,10.11
23861.jpg,27.04,0.772,89.36,11.34
23862.jpg,25.29,0.646,82.65,13.87
2387.jpg,24.21,0.6635,76.59,15.7
23870.jpg,25.92,0.6834,83.47,12.9
23876.jpg,26.96,0.7435,88.41,11.45
23877.jpg,29.97,0.7898,94.98,8.09
23878.jpg,29.51,0.8153,93.58,8.54
23880.jpg,26.27,0.7686,85.89,12.39
23887.jpg,25.98,0.6786,83.21,12.81
23892.jpg,26.84,0.7403,84.84,11.6
23898.jpg,26.38,0.7017,85.49,12.24
23907.jpg,26.23,0.7529,85.68,12.45
23914.jpg,25.77,0.7177,83.38,13.12
23916.jpg,31.96,0.911,99.09,6.44
2392.jpg,25.84,0.6878,80.49,13.02
23924.jpg,26.01,0.8291,91.64,12.77
23935.jpg,21.18,0.6828,75.93,22.26
23936.jpg,27.38,0.7766,87.32,10.9
23938.jpg,26.12,0.7694,86.12,12.6
23945.jpg,27.34,0.7726,87.25,10.95
23953.jpg,24.56,0.6351,73.21,15.09
23963.jpg,28.36,0.6929,89.09,9.74
23976.jpg,27.93,0.747,89.31,10.23
23987.jpg,27.33,0.6792,83.58,10.96
2399.jpg,25.85,0.7339,87.73,13.0
23993.jpg,26.93,0.7084,89.15,11.48
24.jpg,24.23,0.7353,84.43,15.68
24000.jpg,26.7,0.8274,89.74,11.79
24006.jpg,24.51,0.6704,79.87,15.16
24007.jpg,20.78,0.614,69.08,23.31
24008.jpg,24.92,0.682,81.16,14.47
24010.jpg,26.21,0.7498,85.16,12.47
24011.jpg,23.57,0.7267,80.97,16.91
24014.jpg,28.47,0.8047,91.51,9.62
24016.jpg,27.7,0.8284,88.41,10.51
24033.jpg,24.08,0.6065,80.32,15.94
24046.jpg,28.77,0.831,92.52,9.29
24048.jpg,26.79,0.7437,87.25,11.67
24051.jpg,26.49,0.6758,87.67,12.07
24053.jpg,21.69,0.5534,60.8,21.0
24063.jpg,25.83,0.7324,82.19,13.03
24066.jpg,26.44,0.6659,82.31,12.15
2409.jpg,27.9,0.7881,90.35,10.27
241.jpg,25.54,0.7331,84.47,13.48
24104.jpg,26.86,0.7858,88.8,11.58
24110.jpg,27.17,0.8025,88.34,11.17
24119.jpg,28.12,0.7554,91.5,10.02
24123.jpg,25.0,0.669,79.52,14.34
24125.jpg,26.06,0.7276,83.72,12.7
24129.jpg,28.87,0.8188,92.56,9.19
2413.jpg,31.02,0.8431,96.28,7.17
24140.jpg,29.05,0.8606,96.17,8.99
24143.jpg,23.22,0.7178,85.67,17.59
24151.jpg,27.92,0.7724,91.51,10.25
24154.jpg,26.59,0.751,86.24,11.94
24156.jpg,28.65,0.8394,93.74,9.42
24157.jpg,27.63,0.8017,88.39,10.6
24166.jpg,27.84,0.7706,89.65,10.34
24188.jpg,23.7,0.6809,79.26,16.66
24194.jpg,24.46,0.6727,79.12,15.27
24198.jpg,26.01,0.8016,89.49,12.77
24203.jpg,25.87,0.5914,78.28,12.97
24207.jpg,27.98,0.8024,92.11,10.17
2421.jpg,27.16,0.7316,85.72,11.18
24210.jpg,26.41,0.7455,83.67,12.19
24227.jpg,28.13,0.7261,90.76,10.0
24232.jpg,28.95,0.7208,92.17,9.1
24245.jpg,30.35,0.8289,95.18,7.74
24250.jpg,26.92,0.7612,87.38,11.5
24251.jpg,27.02,0.8255,91.76,11.36
24264.jpg,25.04,0.656,81.12,14.28
24266.jpg,28.98,0.8803,97.13,9.06
2427.jpg,24.68,0.8054,87.97,14.87
24276.jpg,26.84,0.7328,86.68,11.6
24289.jpg,31.65,0.8431,98.03,6.67
